Model,Accuracy,Precision,Recall,F1-score
Embedding + Dense,0.9738372093023255,0.9809523809523809,0.8046875,0.8841201716738197
BiLSTM,0.9844961240310077,0.9745762711864406,0.8984375,0.9349593495934959
Embedding + Dense,0.9738372093023255,0.9809523809523809,0.8046875,0.8841201716738197
BiLSTM,0.9844961240310077,0.9745762711864406,0.8984375,0.9349593495934959
